,As,Cs,Gs,Ns,Ts,coverage,majorbases,position
146,7957,27,9,0,6,7999,7957,146
147,22,7957,2,0,8,7989,7957,147
148,11,7,7891,0,10,7919,7891,148
149,41,7932,6,0,10,7989,7932,149
150,21,6,7940,0,17,7984,7940,150
151,7861,39,4,0,10,7914,7861,151
152,16,9,7953,0,13,7991,7953,152
153,7635,33,4,0,4,7676,7635,153
154,9,7,7972,0,4,7992,7972,154
155,7955,30,3,0,4,7994,7955,155
156,7959,31,3,0,5,7998,7959,156
157,7958,24,9,0,8,7999,7958,157
158,25,7955,3,0,12,7995,7955,158
159,71,7884,2,0,4,7961,7884,159
160,10,6,7969,0,6,7991,7969,160
161,36,7960,0,0,2,7998,7960,161
162,8,7,7961,0,3,7979,7961,162
163,27,17,4,0,7942,7990,7942,163
164,9,8,7969,0,13,7999,7969,164
165,19,14,1,0,7964,7998,7964,165
166,34,7954,7,0,4,7999,7954,166
167,12,10,7965,0,8,7995,7965,167
168,7866,55,6,0,10,7937,7866,168
169,39,7944,13,0,3,7999,7944,169
170,131,12,49,0,7692,7884,7692,170
171,21,4,7932,0,21,7978,7932,171
172,181,43,25,0,7717,7966,7717,172
173,7807,24,45,0,110,7988,7807,173
174,30,7861,103,0,2,7999,7861,174
175,7865,37,6,0,6,7917,7865,175
176,7812,62,48,0,76,7998,7812,176
177,50,7697,247,0,4,7998,7697,177
178,7892,46,24,0,29,7991,7892,178
179,23,19,7931,0,26,7999,7931,179
180,54,7900,6,0,39,7999,7900,180
181,161,16,76,0,7736,8000,7736,181
182,15,8,7961,0,5,7993,7961,182
183,7673,51,188,0,72,7985,7673,183
184,107,7637,244,0,10,7999,7637,184
185,7941,32,10,0,1,7987,7941,185
186,7913,43,39,0,4,7999,7913,186
187,7912,81,2,0,5,8000,7912,187
188,70,11,7905,0,13,8000,7905,188
189,7900,79,5,0,14,7998,7900,189
190,30,9,7953,0,7,7999,7953,190
191,7683,75,59,0,177,7994,7683,191
192,94,10,201,0,7686,7996,7686,192
193,23,50,13,0,7899,7986,7899,193
194,229,7715,9,0,4,7957,7715,194
195,55,50,186,0,7697,7988,7697,195
196,248,7684,24,0,35,7991,7684,196
197,7652,58,107,0,151,7968,7652,197
198,106,7727,59,0,41,7941,7727,198
199,54,16,40,0,7775,7886,7775,199
200,30,257,93,0,7598,7978,7598,200
201,16,9,7950,0,17,7992,7950,201
202,49,13,7841,0,19,7922,7841,202
203,7739,68,95,0,38,7940,7739,203
204,7749,78,57,0,39,7923,7749,204
205,144,15,88,0,7725,7974,7725,205
206,77,26,7822,0,28,7978,7822,206
207,83,7813,72,0,10,7978,7813,207
208,36,86,155,0,7713,7990,7713,208
209,69,19,7712,0,62,7866,7712,209
210,279,7285,56,0,38,7676,7285,210
211,7317,95,202,0,291,7905,7317,211
212,227,19,7573,0,50,7869,7573,212
213,102,16,6419,0,19,6556,6419,213
214,31,13,6438,0,290,6772,6438,214
215,6627,57,31,0,1098,7813,6627,215
216,61,7897,10,0,16,7986,7897,216
217,12,14,7842,0,9,7877,7842,217
218,7806,54,10,0,74,7944,7806,218
219,21,13,7943,0,19,7996,7943,219
220,16,14,7786,0,16,7832,7786,220
221,7710,41,25,0,88,7864,7710,221
222,56,7795,19,0,115,7985,7795,222
223,58,7769,18,0,18,7863,7769,223
224,7900,48,26,0,13,7989,7900,224
225,6,6,15,0,7962,7992,7962,225
226,11,8,8,0,7965,7993,7965,226
227,7945,25,10,0,14,7999,7945,227
228,7930,45,14,0,8,7998,7930,228
229,7931,33,13,0,18,7995,7931,229
230,7939,28,13,0,14,7994,7939,230
231,53,7908,20,0,16,7997,7908,231
232,13,9,6,0,7964,7992,7964,232
233,6,7,7973,0,11,7997,7973,233
234,18,17,5,0,7957,7997,7957,234
235,8,5,13,0,7971,7998,7971,235
236,28,7940,12,0,13,7994,7940,236
237,7946,29,7,0,14,7997,7946,237
238,8,8,9,0,7974,7999,7974,238
239,14,11,7955,0,15,7995,7955,239
240,22,10,7937,0,26,7995,7937,240
241,47,7932,9,0,9,7998,7932,241
242,69,7888,18,0,23,7998,7888,242
243,46,7930,8,0,15,7999,7930,243
244,10,20,12,0,7956,7999,7956,244
245,16,8,7962,0,13,7999,7962,245
246,20,14,7957,0,8,7999,7957,246
247,46,35,34,0,7884,7999,7884,247
248,16,14,7950,0,20,8000,7950,248
249,11,10,7959,0,21,8001,7959,249
250,49,7933,7,0,11,8000,7933,250
251,8,8,7979,0,5,8000,7979,251
252,24,14,14,0,7946,7998,7946,252
253,7,5,3,0,7982,7997,7982,253
254,47,7928,13,0,7,7997,7928,254
255,37,7944,2,0,14,7997,7944,255
256,8,9,12,0,7966,7995,7966,256
257,11,4,6,0,7967,7988,7967,257
258,31,7951,6,0,6,7994,7951,258
259,3,12,7961,0,3,7979,7961,259
260,34,16,28,0,7864,7946,7864,260
261,21,10,18,0,7947,7997,7947,261
262,10,6,4,0,7972,7992,7972,262
263,44,7843,14,0,17,7927,7843,263
264,56,7876,40,0,10,7989,7876,264
265,15,9,43,0,7877,7957,7877,265
266,7846,42,18,0,11,7933,7846,266
267,7765,57,17,0,60,7944,7765,267
268,58,7816,54,0,13,7998,7816,268
269,7838,34,86,0,5,7967,7838,269
270,7875,54,46,0,8,7983,7875,270
271,54,21,37,0,7882,7998,7882,271
272,95,7858,17,0,8,7981,7858,272
273,110,7702,139,0,38,7990,7702,273
274,85,7673,157,0,25,7946,7673,274
275,7725,72,62,0,17,7882,7725,275
276,173,7560,94,0,88,7929,7560,276
277,82,7497,275,0,6,7861,7497,277
278,7819,56,35,0,72,7994,7819,278
279,7735,82,91,0,72,7992,7735,279
280,71,7688,230,0,9,7998,7688,280
281,7708,74,100,0,103,7985,7708,281
282,27,18,7907,0,42,7994,7907,282
283,125,7733,10,0,125,7994,7733,283
284,7808,121,39,0,18,7989,7808,284
285,21,20,7896,0,46,7993,7896,285
286,104,23,7815,0,9,7953,7815,286
287,28,39,7881,0,34,7985,7881,287
288,7734,129,78,0,23,7967,7734,288
289,204,17,190,0,7574,7988,7574,289
290,7765,123,15,0,33,7986,7765,290
291,63,7562,342,0,22,7990,7562,291
292,110,28,106,0,7744,7988,7744,292
293,10,5,7960,0,11,7987,7960,293
294,7486,130,46,0,304,7970,7486,294
295,7725,123,90,0,26,7965,7725,295
296,45,20,7812,0,87,7965,7812,296
297,7446,136,66,0,31,7679,7446,297
298,26,14,7597,0,329,7966,7597,298
299,7528,210,85,0,38,7861,7528,299
300,67,46,54,0,7777,7944,7777,300
301,106,221,7524,0,42,7915,7524,301
302,53,87,7643,0,55,7838,7643,302
303,75,27,7723,0,83,7909,7723,303
304,119,31,7606,0,40,7797,7606,304
305,7636,114,96,0,63,7910,7636,305
306,7648,66,90,0,108,7914,7648,306
307,138,7634,146,0,37,7957,7634,307
308,7664,86,142,0,14,7909,7664,308
309,7615,115,129,0,68,7927,7615,309
310,17,38,139,0,7665,7859,7665,310
311,52,29,95,0,7809,7986,7809,311
312,7810,60,55,0,51,7984,7810,312
313,7821,57,50,0,31,7964,7821,313
314,7862,53,53,0,14,7983,7862,314
315,7816,75,81,0,8,7981,7816,315
316,7852,58,25,0,43,7979,7852,316
317,7797,111,61,0,15,7985,7797,317
318,36,10,23,0,7872,7943,7872,318
319,83,7806,56,0,8,7955,7806,319
320,7722,45,86,0,47,7912,7722,320
321,7722,67,71,0,48,7916,7722,321
322,7814,66,76,0,26,7982,7814,322
323,7842,79,24,0,20,7966,7842,323
324,73,31,7797,0,65,7969,7797,324
325,160,7758,34,0,23,7984,7758,325
326,74,7731,131,0,33,7974,7731,326
327,7756,144,50,0,11,7965,7756,327
328,76,11,140,0,7730,7969,7730,328
329,53,17,86,0,7823,7990,7823,329
330,7819,105,36,0,23,7989,7819,330
331,7747,82,140,0,16,7991,7747,331
332,48,60,45,0,7834,7995,7834,332
333,35,27,7909,0,15,7986,7909,333
334,75,38,40,0,7821,7984,7821,334
335,100,66,51,0,7775,7994,7775,335
336,36,29,149,0,7776,7991,7776,336
337,62,22,108,0,7782,7974,7782,337
338,56,21,7825,0,33,7939,7825,338
339,7706,75,31,0,34,7856,7706,339
340,101,13,7845,0,32,7992,7845,340
341,7753,82,33,0,35,7903,7753,341
342,53,32,7839,0,56,7992,7839,342
343,78,101,7752,0,33,7976,7752,343
344,30,17,7849,0,41,7940,7849,344
345,147,49,77,0,7676,7954,7676,345
346,75,33,82,0,7757,7948,7757,346
347,143,7697,63,0,65,7970,7697,347
348,7803,62,84,0,23,7974,7803,348
349,29,10,7874,0,15,7930,7874,349
350,57,34,7842,0,17,7950,7842,350
351,7790,71,60,0,17,7941,7790,351
352,7799,80,38,0,24,7942,7799,352
353,7894,58,15,0,6,7978,7894,353
354,46,3,7714,0,14,7789,7714,354
355,7808,73,8,0,41,7930,7808,355
356,31,4,7935,0,12,7983,7935,356
357,7831,61,12,0,56,7961,7831,357
358,31,12,83,0,7854,7981,7854,358
359,32,53,17,0,7864,7966,7864,359
360,56,16,7840,0,18,7933,7840,360
361,51,8,7841,0,19,7919,7841,361
362,7793,41,11,0,71,7917,7793,362
363,7788,77,44,0,34,7969,7788,363
364,155,28,7674,0,14,7901,7674,364
365,75,15,7820,0,71,7982,7820,365
366,7823,89,35,0,32,7986,7823,366
367,76,41,64,0,7796,7988,7796,367
368,57,18,7843,0,20,7979,7843,368
369,184,7665,53,0,26,7930,7665,369
370,117,21,97,0,7750,7987,7750,370
371,36,15,7853,0,15,7921,7853,371
372,7819,46,26,0,44,7945,7819,372
373,7775,41,135,0,24,7975,7775,373
374,85,7764,119,0,17,7986,7764,374
375,7752,43,160,0,7,7962,7752,375
376,22,5,68,0,7897,7993,7897,376
377,75,7865,33,0,20,7993,7865,377
378,18,10,182,0,7780,7996,7780,378
379,43,77,28,0,7842,7990,7842,379
380,27,9,7933,0,18,7988,7933,380
381,7682,36,47,0,187,7956,7682,381
382,7798,46,83,0,51,7979,7798,382
383,123,7579,177,0,97,7985,7579,383
384,7698,70,162,0,8,7938,7698,384
385,64,18,7865,0,9,7990,7865,385
386,154,16,7778,0,37,7986,7778,386
387,7825,69,46,0,28,7970,7825,387
388,141,18,7755,0,75,7990,7755,388
389,7610,123,55,0,40,7850,7610,389
390,146,7381,285,0,159,7980,7381,390
391,44,12,7859,0,53,7969,7859,391
392,306,7390,71,0,214,7985,7390,392
393,7792,67,65,0,23,7978,7792,393
394,103,16,7812,0,28,7960,7812,394
395,7761,54,36,0,98,7949,7761,395
396,7446,77,242,0,196,7961,7446,396
397,79,7724,147,0,17,7969,7724,397
398,71,31,110,0,7748,7962,7748,398
399,47,54,7797,0,44,7952,7797,399
400,165,7387,103,0,286,7944,7387,400
401,7687,80,100,0,81,7955,7687,401
402,58,58,7769,0,47,7933,7769,402
403,133,25,7528,0,41,7728,7528,403
404,166,7287,376,0,60,7898,7287,404
405,7709,62,87,0,19,7885,7709,405
406,310,27,74,0,7481,7931,7481,406
407,69,70,7789,0,16,7944,7789,407
408,7707,64,92,0,50,7914,7707,408
409,177,21,241,0,7490,7931,7490,409
410,123,7651,98,0,26,7899,7651,410
411,7634,65,177,0,30,7906,7634,411
412,48,20,96,0,7748,7912,7748,412
413,55,111,26,0,7696,7888,7696,413
414,7688,43,104,0,76,7911,7688,414
415,26,24,38,0,7834,7922,7834,415
416,25,29,7860,0,8,7923,7860,416
417,68,7797,36,0,55,7959,7797,417
418,44,16,14,0,7875,7952,7875,418
419,13,6,7913,0,22,7955,7913,419
420,7842,102,18,0,19,7984,7842,420
421,21,11,29,0,7911,7974,7911,421
422,10,13,18,0,7935,7976,7935,422
423,67,7890,22,0,10,7990,7890,423
424,87,7826,19,0,9,7943,7826,424
425,7967,16,4,0,5,7995,7967,425
426,7930,46,7,0,9,7994,7930,426
427,68,7892,25,0,10,7995,7892,427
428,7932,34,3,0,1,7970,7932,428
429,14,6,7972,0,5,7997,7972,429
430,63,32,35,0,7867,7997,7867,430
431,12,13,7956,0,13,7994,7956,431
432,7905,66,3,0,13,7988,7905,432
433,44,20,14,0,7918,7996,7918,433
434,20,14,7953,0,8,7997,7953,434
435,26,22,7934,0,11,7993,7934,435
436,82,7899,1,0,14,7997,7899,436
437,15,7,7952,0,13,7987,7952,437
438,37,33,15,0,7910,7995,7910,438
439,20,9,8,0,7950,7995,7950,439
440,68,7893,15,0,8,7992,7893,440
441,73,7870,29,0,17,7989,7870,441
442,7916,36,27,0,5,7984,7916,442
443,31,7,31,0,7912,7983,7912,443
444,43,29,37,0,7869,7978,7869,444
445,19,12,49,0,7916,7996,7916,445
446,7891,64,19,0,7,7982,7891,446
447,7854,76,54,0,12,7996,7854,447
448,57,7859,48,0,35,7999,7859,448
449,185,7665,56,0,18,7926,7665,449
450,7753,49,101,0,83,7988,7753,450
451,162,7745,81,0,9,7997,7745,451
452,7800,62,38,0,84,7985,7800,452
453,53,7887,18,0,30,7993,7887,453
454,53,10,7903,0,12,7981,7903,454
455,33,23,132,0,7793,7985,7793,455
456,7861,72,35,0,24,7992,7861,456
457,7744,97,56,0,93,7990,7744,457
458,88,7791,68,0,39,7987,7791,458
459,107,9,7765,0,12,7955,7765,459
460,71,17,7789,0,63,7968,7789,460
461,7736,116,62,0,32,7951,7736,461
462,123,29,7791,0,40,7986,7791,462
463,7735,90,41,0,48,7963,7735,463
464,7621,92,102,0,104,7932,7621,464
465,145,7636,128,0,20,7957,7636,465
466,270,7359,233,0,23,7913,7359,466
467,7554,56,162,0,181,7972,7554,467
468,178,7641,100,0,25,7951,7641,468
469,7604,39,225,0,97,7966,7604,469
470,87,7425,386,0,56,7965,7425,470
471,7752,75,78,0,57,7973,7752,471
472,278,13,118,0,7546,7992,7546,472
473,59,93,7794,0,42,7993,7794,473
474,7770,78,99,0,29,7976,7770,474
475,130,26,253,0,7546,7961,7546,475
476,132,7740,34,0,15,7921,7740,476
477,30,7,7852,0,21,7949,7852,477
478,100,31,78,0,7703,7912,7703,478
479,133,7709,91,0,15,7983,7709,479
480,7501,92,114,0,218,7982,7501,480
481,58,16,7866,0,29,7986,7866,481
482,95,32,64,0,7749,7978,7749,482
483,7775,112,60,0,23,7988,7775,483
484,32,32,7904,0,16,7985,7904,484
485,7551,114,177,0,121,7972,7551,485
486,241,7424,268,0,32,7976,7424,486
487,7644,94,63,0,141,7951,7644,487
488,7724,161,41,0,57,7984,7724,488
489,68,41,7800,0,38,7972,7800,489
490,7594,160,119,0,74,7949,7594,490
491,47,26,7828,0,69,7976,7828,491
492,7448,188,75,0,111,7880,7448,492
493,7321,119,298,0,230,7968,7321,493
494,7305,256,57,0,340,7958,7305,494
495,91,392,7302,0,158,7949,7302,495
496,201,117,7533,0,43,7894,7533,496
497,161,41,7627,0,77,7906,7627,497
498,7526,117,114,0,119,7877,7526,498
499,7571,120,166,0,70,7928,7571,499
500,6953,140,683,0,100,7876,6953,500
501,7581,144,103,0,100,7928,7581,501
502,78,32,7780,0,20,7914,7780,502
503,168,405,57,0,7105,7878,7105,503
504,101,7321,439,0,49,7911,7321,504
505,30,49,307,0,7512,7899,7512,505
506,57,306,30,0,7524,7917,7524,506
507,66,7475,374,0,17,7933,7475,507
508,52,20,78,0,7652,7957,7652,508
509,45,29,7857,0,23,7966,7857,509
510,54,32,85,0,7749,7925,7749,510
511,181,15,317,0,7412,7925,7412,511
512,48,17,285,0,7629,7979,7629,512
513,7671,56,233,0,15,7976,7671,513
514,7736,107,114,0,19,7977,7736,514
515,7809,88,62,0,9,7968,7809,515
516,7780,107,31,0,40,7958,7780,516
517,71,7542,323,0,20,7968,7542,517
518,7844,66,25,0,37,7973,7844,518
519,34,8,7893,0,15,7951,7893,519
520,7567,103,18,0,277,7967,7567,520
521,54,15,7880,0,24,7974,7880,521
522,23,32,7811,0,66,7934,7811,522
523,7768,131,44,0,32,7977,7768,523
524,42,34,27,0,7871,7977,7871,524
525,45,102,7814,0,14,7976,7814,525
526,40,22,7857,0,57,7977,7857,526
527,155,90,75,0,7659,7980,7659,527
528,31,38,7877,0,23,7969,7877,528
529,97,46,179,0,7618,7945,7618,529
530,31,48,7793,0,94,7967,7793,530
531,7751,137,53,0,15,7958,7751,531
532,7754,95,90,0,40,7979,7754,532
533,159,7759,38,0,21,7977,7759,533
534,7691,137,86,0,8,7924,7691,534
535,106,25,114,0,7712,7961,7712,535
536,64,45,7854,0,25,7989,7854,536
537,191,55,59,0,7677,7982,7677,537
538,89,42,7811,0,35,7977,7811,538
539,202,42,270,0,7407,7926,7407,539
540,7713,50,101,0,59,7925,7713,540
541,282,7288,292,0,83,7968,7288,541
542,171,7559,106,0,107,7946,7559,542
543,205,7379,374,0,15,7974,7379,543
544,155,34,172,0,7587,7949,7587,544
545,160,7546,231,0,10,7950,7546,545
546,7586,100,200,0,49,7941,7586,546
547,198,33,158,0,7560,7953,7560,547
548,136,147,7659,0,19,7970,7659,548
549,204,24,7588,0,110,7936,7588,549
550,207,7283,338,0,76,7915,7283,550
551,342,7294,242,0,61,7939,7294,551
552,7527,109,229,0,66,7931,7527,552
553,215,75,104,0,7482,7934,7482,553
554,301,121,7456,0,31,7963,7456,554
555,92,30,7700,0,50,7873,7700,555
556,7745,34,31,0,89,7929,7745,556
557,178,7342,280,0,150,7957,7342,557
558,210,7581,134,0,39,7965,7581,558
559,52,19,287,0,7599,7960,7599,559
560,115,144,52,0,7652,7964,7652,560
561,83,220,7615,0,41,7960,7615,561
562,32,19,7895,0,17,7964,7895,562
563,341,82,179,0,7304,7910,7304,563
564,71,15,7858,0,14,7959,7858,564
565,7576,127,109,0,128,7950,7576,565
566,7694,99,135,0,43,7976,7694,566
567,110,20,204,0,7617,7964,7617,567
568,171,217,96,0,7494,7982,7494,568
569,24,15,7911,0,30,7983,7911,569
570,190,46,57,0,7658,7954,7658,570
571,56,22,7877,0,17,7975,7877,571
572,124,30,64,0,7731,7952,7731,572
573,168,21,7759,0,11,7967,7759,573
574,7615,71,99,0,170,7971,7615,574
575,7738,93,132,0,26,7989,7738,575
576,41,51,7855,0,28,7976,7855,576
577,7762,95,92,0,27,7981,7762,577
578,117,17,121,0,7722,7981,7722,578
579,7684,170,69,0,52,7982,7684,579
580,127,7509,213,0,101,7975,7509,580
581,7699,117,107,0,51,7974,7699,581
582,7653,82,193,0,41,7969,7653,582
583,65,29,94,0,7776,7965,7776,583
584,162,7679,86,0,46,7977,7679,584
585,7507,147,147,0,155,7959,7507,585
586,98,7707,90,0,77,7972,7707,586
587,32,21,7894,0,21,7968,7894,587
588,86,46,102,0,7710,7945,7710,588
589,7777,102,39,0,49,7967,7777,589
590,212,7590,65,0,25,7893,7590,590
591,7750,117,77,0,34,7979,7750,591
592,7743,164,38,0,23,7968,7743,592
593,42,16,7908,0,15,7981,7908,593
594,131,53,42,0,7743,7970,7743,594
595,24,20,7917,0,22,7983,7917,595
596,59,25,47,0,7816,7947,7816,596
597,121,7778,45,0,15,7959,7778,597
598,105,7750,59,0,32,7946,7750,598
599,104,9,22,0,7824,7960,7824,599
600,22,7,81,0,7850,7960,7850,600
601,106,42,3,0,7808,7959,7808,601
602,25,17,25,0,7893,7963,7893,602
603,116,7708,33,0,78,7939,7708,603
604,106,25,67,0,7562,7772,7562,604
605,83,7646,126,0,44,7915,7646,605
606,7644,100,45,0,72,7892,7644,606
607,48,7,7853,0,24,7936,7853,607
608,67,22,7785,0,54,7932,7785,608
609,169,7681,28,0,48,7939,7681,609
610,7780,84,59,0,14,7939,7780,610
611,27,10,7848,0,24,7909,7848,611
612,7817,99,37,0,20,7973,7817,612
613,7691,89,106,0,35,7922,7691,613
614,48,68,22,0,7803,7942,7803,614
615,30,5,7877,0,10,7922,7877,615
616,7760,53,35,0,56,7923,7760,616
617,7741,78,25,0,89,7933,7741,617
618,78,7790,28,0,34,7948,7790,618
619,138,7643,72,0,22,7875,7643,619
620,7671,39,191,0,43,7945,7671,620
621,50,18,7904,0,14,7987,7904,621
622,7834,68,6,0,56,7966,7834,622
623,7851,83,25,0,25,7984,7851,623
624,70,26,7859,0,19,7984,7859,624
625,7797,45,80,0,22,7944,7797,625
626,74,7729,149,0,32,7984,7729,626
627,7810,57,112,0,12,7991,7810,627
628,131,8,38,0,7814,7993,7814,628
629,7855,107,12,0,11,7986,7855,629
630,57,16,7908,0,17,7998,7908,630
631,7814,80,18,0,33,7988,7814,631
632,31,10,187,0,7712,7988,7712,632
633,21,46,16,0,7907,7990,7907,633
634,40,23,7910,0,19,7992,7910,634
635,47,22,49,0,7873,7993,7873,635
636,146,54,39,0,7757,7996,7757,636
637,37,19,7908,0,19,7983,7908,637
638,65,14,7848,0,24,7951,7848,638
639,157,42,79,0,7709,7989,7709,639
640,64,54,7811,0,55,7984,7811,640
641,91,7662,82,0,121,7963,7662,641
642,7746,80,109,0,20,7955,7746,642
643,7661,77,155,0,87,7980,7661,643
644,165,7717,82,0,14,7979,7717,644
645,51,14,36,0,7874,7976,7874,645
646,48,7762,167,0,16,7993,7762,646
647,77,19,37,0,7854,7987,7854,647
648,7786,116,56,0,21,7979,7786,648
649,59,7753,158,0,16,7987,7753,649
650,48,15,7897,0,17,7977,7897,650
651,28,22,78,0,7846,7975,7846,651
652,126,7782,42,0,21,7975,7782,652
653,166,7672,91,0,48,7979,7672,653
654,7830,63,19,0,70,7982,7830,654
655,85,7764,122,0,17,7988,7764,655
656,7793,81,49,0,51,7974,7793,656
657,73,18,32,0,7853,7983,7853,657
658,14,32,7919,0,19,7985,7919,658
659,27,11,7914,0,31,7983,7914,659
660,46,13,7876,0,19,7954,7876,660
661,136,61,38,0,7732,7969,7732,661
662,7885,65,20,0,6,7976,7885,662
663,7862,62,34,0,25,7983,7862,663
664,81,7845,37,0,14,7977,7845,664
